Project No.,Part Name,Customer,Drawing No.,Quantity Ordered,Project Start date ,STATUS,1,2,3,4,5,6,7,8,On Process,Process No.,Step No.,Machine no.,Start time,Endtime,FG,NG,RW,Total Parts ,FG(QC),NG(QC),RW(QC),PROCESS STATUS,Downtime,วันที่ควรจะเสร็จ Due Date,Cycle Time
2006037029F,559-165-1 RING,CITIZEN,6/9,200,"14/7/2025, 13:05:03",Close,CRP,MRP,CRP,GR,QC,,,,QC,-,-,-,"5/9/2025, 8:18:30","5/9/2025, 8:18:30",199,1,0,200,196,4,5,CLOSE,,,0:04:28
2005044037F,632-1108 COOLANT BLOCK,CITIZEN,20/20,100,"14/7/2025, 13:05:13",Pending,CRP,MRP,QC,,,,,,Rework,1,1,MC04,"28/7/2025, 9:57:15","28/7/2025, 9:57:45",99,1,0,100,0,0,0,CLOSE,,,
2006037029F,583-151-3 COOLANT PIPE 2ND,CITIZEN,1C/9,150,"14/7/2025, 13:05:37",Pending,CRP,MRP,WD,,,,,,MRP,2,1,MC06,"18/7/2025, 8:53:33","18/7/2025, 16:23:38",150,0,0,150,0,0,0,CLOSE,,,
2106018015F,"360A182BB HOLDER,K-CYL,L",MIZUHO,1/4,64,"14/7/2025, 14:26:46",Close,CRP,MRP,CRP,GR,QC,,,,QC,-,-,-,"16/8/2025, 8:34:57","16/8/2025, 8:34:57",59,5,0,64,59,5,0,CLOSE,,,0:06:39
2005044037F,567-165-1 RING,CITIZEN,17/20,100,"14/7/2025, 14:42:57",Pending,CRP,MRP,CRP,QC,,,,,CRP,3,2,CL12,"21/7/2025, 8:49:27","21/7/2025, 16:43:26",109,3,0,112,0,0,0,CLOSE,,,
2005044037F,521-610 KNOCK OUT JIG,CITIZEN,12/20,300,"14/7/2025, 16:43:00",Close,CRP,MRP,CRP,QC,,,,,QC,-,-,-,"15/9/2025, 8:22:25","15/9/2025, 8:22:25",302,2,0,304,302,2,0,CLOSE,,,0:03:40
2106018015F,"353D215AA CAP,K-CYL,L",MIZUHO,3/4,100,"14/7/2025, 17:38:32",Close,CUT,MRP,CRP,MRP,CRP,QC,,,QC,-,-,-,"13/8/2025, 15:10:38","13/8/2025, 15:10:38",99,1,0,100,99,1,0,CLOSE,,,0:02:07
2006037029F,583-152-2 MAIN PIPE_rev02,CITIZEN,2B/9,100,"16/7/2025, 11:24:20",Pending,LA,CRP,WD,CRP,,,,,CRP,4,1,CL07,"6/8/2025, 8:30:39","6/8/2025, 15:57:34",100,0,0,100,0,0,0,CLOSE,,,
2106018015F,"360A183BB HOLDER,K-CYL,R",MIZUHO,2/4,64,"16/7/2025, 17:22:04",Close,BL,CRP,MRP,QC,CA,,,,QC,-,-,-,"16/8/2025, 8:35:58","16/8/2025, 8:35:58",62,2,0,64,62,2,0,CLOSE,,,0:06:31
2006037029F,583-151-3 COOLANT PIPE MAIN PLATE,CITIZEN,1D/9,150,"18/7/2025, 10:15:58",Pending,LS,BL,MRP,WD,QC,,,,MRP,3,2,MC08,"21/7/2025, 11:20:58","21/7/2025, 17:12:18",148,3,0,151,0,0,0,CLOSE,,,
